"UM_CODE";"UM_NAMEF";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";"global_id";
"020235";"Пересветов переулок";"Пересветов пер.";"Peresvetov pereulok";"002";"";"0609";"77000000000224800";"58482256";
"020240";"Большая Переяславская улица";"Б. Переяславская ул.";"Bol`shaya Pereyaslavskaya ulicza";"001";"";"0105";"77000000000224900";"58482257";
"020250";"Малая Переяславская улица";"М. Переяславская ул.";"Malaya Pereyaslavskaya ulicza";"001";"";"0105";"77000000000225000";"58482258";
"020260";"Средняя Переяславская улица";"Ср. Переяславская ул.";"Srednyaya Pereyaslavskaya ulicza";"001";"";"0105";"77000000000225100";"58482259";
"020270";"Переяславский переулок";"Переяславский пер.";"Pereyaslavskij pereulok";"002";"";"0105";"77000000000225200";"58482260";
"020285";"Пермская улица";"Пермская ул.";"Permskaya ulicza";"001";"";"0403;0410";"77000000000225300";"58482261";
"020308";"1-й проезд Перова Поля";"1-й пр. Перова Поля";"Pervy'j proezd Perova Polya";"003";"";"0413";"77000000000042700";"58482262";
"020309";"2-й проезд Перова Поля";"2-й пр. Перова Поля";"Vtoroj proezd Perova Polya";"003";"";"0413";"77000000000042800";"58482263";
"020310";"3-й проезд Перова Поля";"3-й пр. Перова Поля";"Tretij proezd Perova Polya";"003";"";"0413";"77000000000042900";"58482264";
"020311";"4-й проезд Перова Поля";"4-й пр. Перова Поля";"Chetvyorty'j proezd Perova Polya";"003";"";"0413";"77000000000395500";"58482265";
"020320";"Перовская улица";"Перовская ул.";"Perovskaya ulicza";"001";"";"0411;0413";"77000000000043000";"58482266";
"020330";"Перовский проезд";"Перовский пр.";"Perovskij proezd";"003";"";"0507;0510";"77000000000030500";"58482267";
"020340";"Перовское шоссе";"Перовское ш.";"Perovskoe shosse";"006";"";"0413;0510";"77000000000002900";"58482268";
"020350";"Перуновский переулок";"Перуновский пер.";"Perunovskij pereulok";"002";"";"0108;0309";"77000000000057700";"58482269";
"020355";"Песочная аллея";"Песочная аллея";"Pesochnaya alleya";"009";"";"0418";"77000000000376500";"58482270";
"020360";"Песочный переулок";"Песочный пер.";"Pesochny'j pereulok";"002";"";"0418";"77000000000225400";"58482271";
"020365";"улица Пестеля";"ул. Пестеля";"ulicza Pestelya";"001";"";"0311";"77000000000225500";"58482272";
"020370";"Пестовский переулок";"Пестовский пер.";"Pestovskij pereulok";"002";"";"0107";"77000000000225600";"58482273";
"020380";"Песчаная площадь";"Песчаная пл.";"Peschanaya ploshhad`";"004";"";"0214";"77000000000225900";"58482274";
"020390";"Песчаная улица";"Песчаная ул.";"Peschanaya ulicza";"001";"";"0214";"77000000000226000";"58482275";
"020410";"3-я Песчаная улица";"3-я Песчаная ул.";"Tret`ya Peschanaya ulicza";"001";"";"0214;0217";"77000000000225800";"58482276";
"020425";"улица Песчаный Карьер";"ул. Песчаный Карьер";"ulicza Peschany'j Kar`er";"001";"";"0511";"77000000000341100";"58482277";
"020430";"Песчаный переулок";"Песчаный пер.";"Peschany'j pereulok";"002";"";"0214";"77000000000714400";"58482278";
"020440";"Малый Песчаный переулок";"М. Песчаный пер.";"Maly'j Peschany'j pereulok";"002";"";"0214";"77000000000226200";"58482279";
"020445";"площадь Академика Петрова";"пл. Академика Петрова";"ploshhad` Akademika Petrova";"004";"";"0807";"77000000000226400";"58482280";
"020450";"Петроверигский переулок";"Петроверигский пер.";"Petroverigskij pereulok";"002";"";"0102";"77000000000226500";"58482281";
"020460";"улица Петровка";"ул. Петровка";"ulicza Petrovka";"001";"";"0108";"77000000000057800";"58482282";
"020475";"улица Академика Петровского";"ул. Академика Петровского";"ulicza Akademika Petrovskogo";"001";"";"0110;0610";"77000000000227000";"58482283";
"020480";"площадь Петровские Ворота";"пл. Петровские Ворота";"ploshhad` Petrovskie Vorota";"004";"";"0108";"77000000000058100";"58482284";
"020490";"улица Петровские Линии";"ул. Петровские Линии";"ulicza Petrovskie Linii";"001";"";"0108";"77000000000057900";"58482285";
"020500";"Петровский бульвар";"Петровский бульв.";"Petrovskij bul`var";"008";"";"0108";"77000000000058000";"58482286";
"020510";"Петровско-Разумовская аллея";"Петровско-Разумовская аллея";"Petrovsko-Razumovskaya alleya";"009";"";"0201";"77000000000226700";"58482287";
"020520";"Петровско-Разумовский проезд";"Петровско-Разумовский пр.";"Petrovsko-Razumovskij proezd";"003";"";"0213";"77000000000226900";"58482288";
"020530";"Старый Петровско-Разумовский проезд";"Ст. Петровско-Разумовский пр.";"Stary'j Petrovsko-Razumovskij proezd";"003";"";"0201;0213";"77000000000226800";"58482289";
"020540";"Петрозаводская улица";"Петрозаводская ул.";"Petrozavodskaya ulicza";"001";"";"0216";"77000000000227100";"58482290";
"020550";"Петропавловский переулок";"Петропавловский пер.";"Petropavlovskij pereulok";"002";"";"0107";"77000000000227200";"58482291";
"020560";"улица Василия Петушкова";"ул. Василия Петушкова";"ulicza Vasiliya Petushkova";"001";"";"0908";"77000000000719900";"58482292";
"020565";"Пехорская улица";"Пехорская ул.";"Pexorskaya ulicza";"001";"";"0409";"77000000000043100";"58482293";
"020580";"Пехотная улица";"Пехотная ул.";"Pexotnaya ulicza";"001";"";"0907";"77000000000227300";"58482294";
"020590";"1-й Пехотный переулок";"1-й Пехотный пер.";"Pervy'j Pexotny'j pereulok";"002";"";"0907";"77000000000227400";"58482295";
